Name,Id,WikiPageId,Members
a hawk and a hacksaw,eb5a2245-aa69-427e-b7a1-b294f3cce6df,4657389," Jeremy Barnes;Heather Trost"
a man called adam,32bb5669-d9ae-497d-aa88-164b533a8131,10658692,
a perfect circle,bbefa189-6600-4e26-a561-4862544c5345,269859," <!--Do not change, as members are listed in accordance with Wikipedia infobox guidelines.-->; <!--Do not change, as members are listed in accordance with Wikipedia infobox guidelines.-->"
a place to bury strangers,03ed0663-ec3e-4d82-bca9-5e4ea33d1e5c,13881483," Oliver Ackermann;Dion Lunadon;Lia Simone Braswell; David Goffan;Tim Gregorio;Jonathan ""Jono Mofo"" Smith;Jason ""Jay Space"" Weilmeister;Justin Avery;Robi Gonzalez;John Fedowitz"
a shoreline dream,ddd65105-f87d-455c-8078-4c0ad1922b04,23895350,;
a slice of life,f5c23df5-f1a4-4cf9-944a-bae9eb7e14b4,21987801,
a special day,386496aa-26b9-4707-91c1-afbe7a7958d6,163500,
a taste of honey,d04e5b03-b23f-4a72-b2a7-771c963fd66d,1666521,
a tribe called quest,f7d94f5d-b152-47fc-8c75-dddb478aae67,147462,;
a weather,37095f37-ff7d-4619-aed5-297c24fd56bc,16456001," Aaron Gerber;Sarah Winchester;Zach Boyle;Aaron Krenkel;Louis Thomas;"
ac/dc,03205e8e-6b86-4663-be91-b6907cf2590b,149225,"<!--DO ''not'' CHANGE ORDER OF MEMBERS! See page entitled ""Template:Infobox musical artist"" for reference.-->;<!--DO ''not'' CHANGE ORDER OF MEMBERS! See page entitled ""Template:Musical artist"" for reference.-->"
ace of base,510d0bb9-4998-46cb-b6ad-f670edd44cf3,397025,
adam and the ants,b461e555-1785-4d61-aeec-644432d2445e,22584921," Adam Ant;Andy Warren ;British musician;;Andy Warren;Paul Flannagan;Lester Square;Mark Ryan ;guitarist;;Mark Ryan;David Barbarossa;Johnny Bivouac;Matthew Ashman;Leigh Gorman;Chris Hughes ;record producer;;Chris 'Merrick' Hughes;Terry Lee Miall;Marco Pirroni;Kevin Mooney;Gary Tibbs"
afraid of mice,de768ce5-9252-4e5c-9d12-7764408baeb4,35241355,;
age of chance,a655525d-f8fc-4273-971f-c99384cefc9a,6680463," Steven Elvidge;Geoff Taylor;Neil Howson;Jan Perry;Noel ""DJ Powercut"" Watson;Charles Hutchinson"
alaska in winter,a4379d1b-a4ff-4fa6-8d0b-122b3973af6a,16641024,
alessi brothers,b4d4b151-5532-4e8b-b4c8-96a6d7a8df40,11180707,
alice in chains,36ed328d-0e8e-4170-a292-1930d1e68ccb,50214,;
all about eve,515aba65-083a-42fe-92d8-c48f9f7725f7,41881,
all dogs,ab58645e-dd1e-40f4-9f29-4bc8687eba45,49422472," Maryn Jones;Jesse Wither;Amanda Bartley;Nick Harris;"
all our exes live in texas,96394ecd-f1be-4fc7-89b7-7ce0b596126e,53386630," Hannah Crofts;Georgia Mooney;Elana Stone;Katie Wighton"
all saints,3a5d30ef-1347-4179-83d6-ccd069cd922f,226904,
all them witches,dbae7401-3b50-4ea4-ba7f-8e6199623dfc,52209686,;
altar of plagues,9897aa1d-e6fc-42aa-843c-d2595262f73b,23574344," Dave Condon;James Kelly;Johnny King"
american jazz orchestra,c0352c6c-7eb0-4c7c-969e-7ae30b9beff0,53854475,
an albatross,967b8733-0128-40b9-b919-651e9db92880,3474274,;Edward B. Gieda III;Daniel Kishbaugh;Jay Hudak;Kat Paffett;Steven Vaiani
an horse,a0560d49-3513-47b1-936e-3a35a4d65095,17406450," Kate Cooper;Damon Cox"
animal collective,cf0b584b-145b-484a-b5c4-a5236c9681fb,30865414," * Avey Tare"
ant & dec,9d6926e8-6f7b-44e2-bf23-05ebd9266c47,464847," Anthony McPartlin;Declan Donnelly"
antony and the johnsons,1b6abf41-0a1e-4bc2-bb61-84d576db9f87,2016302," Anohni;Julia Kent;Parker Kindred;Jeff Langston;Rob Moose;Maxim Moston;Doug Wieselman;Doveman;Thomas Bartlett;"
apollo 440,af97239a-8c01-4754-a4a9-10082e9d8629,1553593," Trevor Gray;Howard Gray;Norman Fisher-Jones;Noko;Ewan MacFarlane;Cliff Hewitt;Michael Cusick;Ashley Krajewski; James Gardner ;musician;;James Gardner;Ian Hoxley;Paul Kodish"
archers of loaf,9b06bd1c-d7a7-4e3c-83cf-38c28e6d1ada,297298," Eric Bachmann;Matt Gentling;Eric Johnson;Mark Price;"
arms and sleepers,23230098-fb78-441c-98d7-34d7110f8fee,25826360," Max Lewis;Mirza Ramic;"
army of freshmen,ffd8fa2b-f595-40e9-bdd1-91a52d6a20d9,11881692,;
army of lovers,76834083-0568-4ef7-baee-a9ed0d232c3a,446065," Alexander Bard ;1987–2009, 2012-present;;Jean-Pierre Barda ;1987–2009, 2012-present;;Dominika Peczynski ;1992–2009, 2013-present;; Camilla Henemark ;1987–1991, 1995–2001, 2012-2013;;Michaela Dornonville de la Cour ;1991–1995;}}"
arrows of love,78aa54e7-e578-49b0-ac41-5ff6a0cfe0b0,19819187," {{plainlist;Nima Teranchi"
art in manila,2b16a60f-5aef-4bad-bf32-b58a6d2939a1,11535134," Orenda Fink;Adrianne Verhoeven;Dan McCarthy;Steve Bartolomei;Ryan Fox;Corey Broman;"
art of noise,51467acd-f400-45af-86fc-948d7f4006dc,179330,"; Anne Dudley<!--;1983-1990, 1998-2000;-->;J. J. Jeczalik<!--;1983-1990;-->;Gary Langan<!--;1983-1986;-->;Trevor Horn<!--;1983-1985, 1998-2000;-->;Paul Morley<!--;1983-1985, 1998-2000;-->;Lol Creme<!--;1998-2000;-->"
asian dub foundation,bb116d92-bd9a-4579-9558-9da783b05fe0,749936," Aniruddha Das;John Pandit;Steve Chandra Savale;Aktar Ahmed;Ghetto Priest;Nathan Flutebox Lee;Brian Fairbairn; Deeder Zaman;Lisa Das;Martin Savale;Al Rumjen;Lord Kimo;Prithpal Rajput;Dipa Peyronnin;Sanjay Tailor;Rocky Singh"
asleep at the wheel,37141873-2e72-4beb-865d-cdd401bbd3b1,844676,; See #Former members
at all cost,09fad66b-2b71-4e5e-9906-9310baa48a0f,25224418,"  Andrew Collins;Trey Ramirez;Michael Carrigan;Bobby Andrews;Oz; Grant Anderson;Mike Theobald"
at the drive-in,a896907c-8d3a-4a41-ba8c-12eeee615b59,280465,;
at vance,9ed9cfab-3e9d-4380-8609-df5ede310d9e,4054128," Olaf Lenk;Rick Altzi;Chris Hill;Kevin Kott;"
attack in black,876b7646-b6e5-46f9-9d72-9d4e7eacb7e5,12254503," Daniel Romano;Ian Romano;Spencer Burton;Ian Kehoe; Matt Ellis;Aaron Murphy}}"
auf der maur,0862f452-e428-4874-9758-2e0f4ee271d9,821493,
average white band,b745c2c3-3c99-4af8-a969-4f1442078ca7,180578," Alan Gorrie;Onnie McIntyre;Fred Vigdor;Cliff Lyons;Rocky Bryant;Brent Carter;Rob Aries; Roger Ball ;musician;;Roger Ball;Molly Duncan ;musician;;Malcolm ""Molly"" Duncan;Robbie McIntosh ;drummer;;Robbie McIntosh;Michael Rosen;Hamish Stuart;Steve Ferrone;Eliot Lewis;Alex Ligertwood;Tiger McNeil;Peter Abbott;Fred ""Catfish"" Alias;Adam Deitch;Brian Dunne;Klyde Jones;Morris Pleasure;Monte Croft"
azul y negro,cdb271af-051d-452b-8000-3e0b9ebdada3,16761029,
baby's gang,f1eb1cfc-9cfc-412d-a08d-725cbdff87fa,29668369,
backstreet boys,357d6e74-4ead-43d9-aa7c-e2bc7d5adaa6,11778870," * AJ McLean"
bad boys blue,f4e45c6d-474d-4001-86c9-02ffb1c5c413,2253993," John McInerney; Trevor Taylor ;singer;;Trevor Taylor ;deceased;;Andrew Thomas ;deceased;;Trevor Bannister;Mo Russel;Kevin McCoy;Herb McCoy ;The Real Bad Boys Blue;;Carlos Ferreira;Jerome Cummins ;The Real Bad Boys Blue;;Kenny Lewis"
baha men,e52eab8e-4675-4069-ab01-f494ba045224,182510,;
balaam and the angel,7849f4ac-b740-48d8-8e9c-4faec9c57dbd,9730906," Mark Morris;Jim Morris;Des Morris;Chris P Notes; Ian McKean"
band,fe6b95d9-05ef-4481-bdae-2934896d0c23,4499,
band of gold,d368e15b-a22d-4317-9af3-f17bad70c2e3,2439958,
band of horses,188b21a9-7726-44d7-8aff-5a04919c4c6b,3623280," Ben Bridwell;Ryan Monroe;Creighton Barrett;Matt Gentling;Ian MacDougall; Joe Arnone;Ludwig Böss;Mat Brooke;Sera Cahoone;Chris Early;Rob Hampton;Richard Kirkpatrick;Tim Meinig;Blake Mills;Robin Peringer;Tyler Ramsey;Bill Reynolds ;producer;;Bill Reynolds"
banda black rio,31b5dcec-0e24-4ae4-b527-bc6eed92daf9,9466530,
bang gang,61645b14-8404-48bb-895a-e68564f9c327,14357232," Barði Jóhannsson; Singapore Sling ;band;;Henrik Baldvin Björnsson;Esther Talia Casey"
bastard sons of johnny cash,13a24cda-f2c4-446c-8f81-5b3d97a551aa,16228993,
bay city rollers,bc65a660-02ae-4925-b2d2-981193bd6f54,30508,;
be your own pet,0c4e7485-d136-4388-ab1b-7fbae9080588,1876333,; Jemina Pearl;Jonas Stein;Nathan Vasquez;John Eatherly;Jamin Orrall
bear in heaven,3d29cee3-9020-40e2-a98f-f5303d4b8675,16218024," Jon Philpot;Adam Wills;Jason Nazary; Sadek Bazarra;David Daniell ;musician;;David Daniell;James Elliott ;musician;;James Elliott;Joe Stickney"
beastie boys,bd38b879-4256-4a88-b275-10911a17ee6f,3735," <!--Members are to be listed first by order of which they joined the band ;Ad-Rock comes last as non-founding member; and then alphabetically surname, as per Wikipedia guidelines.-->"
bedtime for toys,b06d8ba3-2569-4068-81ba-61b5e5093869,4760747," [http://ponyboymusic.com/ Marchelle Bradanini];Sammy JC;Toussaint Christophe;Kenan Moore;Nashii Noramly; Paul Allen;Jim Chaney;Jenni Tarma"
belle and sebastian,2d556758-3b1a-48a3-b556-efdcc8d7dd84,4267," Stuart Murdoch ;musician;;Stuart Murdoch;Stevie Jackson;Chris Geddes;Richard Colburn;Sarah Martin ;musician;;Sarah Martin;Bobby Kildea;Dave McGowan; Isobel Campbell;Stuart David;Mick Cooke}}"
benin city,b72cca27-1e5e-476c-bafb-bc8e4bef461f,317744,
benny crespo's gang,70b4ec6b-27f6-49d0-a160-cc5691e3dfa4,29298268," Bassi Ólafsson;Helgi Rúnar Gunnarsson;Lovísa Elísabet Sigrúnardóttir;Magnús Árni Öder Kristinsson; Magnús Guðmundsson"
beto y los fairlanes,0fc32011-9259-44ac-910f-84c332debbf1,12635446,
between the buried and me,48ccec70-9fff-4462-888d-0947fa91d3c3,1391690," * Tommy Giles Rogers Jr.; * Will Goodyear"
beverley sisters,6f0decf6-d9b3-4360-8173-764bcfc08668,192236,; Joy Beverley;Teddie Beverley;Babs Beverley}}
big in japan,13ed7922-a8a8-476d-b265-3ccf6958e4c3,20514370,
bill haley & his comets,99c9ccd5-517e-4879-b901-9574c9a8f29f,51917,"; Bill Haley;Johnny Grande;Billy Williamson ;guitarist;;Billy Williamson;Rudy Pompilli;Al Rex;Franny Beecher;Marshall Lytle;Danny Cedrone;Ralph Jones;Nick Nastos;John ""Bam-Bam"" Lane;Joey Welz;Ivan Hoppes;and more than 100 others"
birds of tokyo,f0462e40-9d58-4e64-b62f-ac538509ec54,9497127,;
birds of wales,24f7480d-def0-4f82-858c-0a86a808ee67,6835467," Morgan Cameron Ross; Mike Caputo;Ben Standage;Paul Barry;Scott Christian;Mike Tersigni;Daniel Taylor;Benjamin Keith"
bj the chicago kid,719af9c7-4ae2-477c-999b-52b04d74bc5c,41507014,
black moth super rainbow,5b7aac80-04ee-4398-aa0a-a953c32e3e8e,10677917," Tobacco ;musician;;Tobacco;The Seven Fields of Aphelion;Iffernaut;Pony Diver;Steve SLV; Father Hummingbird;Power Pill Fist;Ryan Manon"
black rebel motorcycle club,b865c07f-9890-4ea6-be99-0a7134796369,329893,;
black tiger sex machine,215a9697-5f94-4c85-968c-6637862b9d65,48878668," Patrick Barry;Marc-André Chagnon;Julien Maranda"
blanket of secrecy,d57020f9-eb24-49d9-b467-a4dcb96a4bd0,14705456,; Peter Marsh ;musician;;Peter Marsh ;aka Tinker;;Roger Bechirian ;aka Soldier;;Andy Howell ;aka Tailor;;Phil McWalter ;aka Spy;;Ron Chadwick ;aka Sailor;
blood and roses,592e08ff-ebfb-4e34-b372-1e5ef0a66368,8981929,
"blood, sweat & tears",56d90c89-9e7c-45f0-8ffc-5d31adb7bfb1,148356," {{ubl;Brad Mason;Jonathan Powell;Chris Rodriguez;Adam Klipple;Dylan Elise;Anibal Rojas;Ric Fierabracci;Julian Coryell;Michael Boscarino<ref nameband>http://bloodsweatandtears.com/the-band/</ref>}};"
boards of canada,130f807b-04e2-4e12-b8cd-f4edb9a1f16b,101580," Mike Sandison;Marcus Eoin; Christ.;Christopher Horne<ref name""matador"">{{citation;urlhttp://www.matadorrecords.com/boards_of_canada/biography.html ;titleBoards of Canada Biography ;publisherMatador Records ;date ;accessdate4 May 2012 ;deadurlyes ;archiveurlhttps://web.archive.org/web/20120418002006/http://www.matadorrecords.com/boards_of_canada/biography.html ;archivedate18 April 2012 ;df }}</ref>"
boca 45,3f60ca35-ec63-4cbf-8d64-ddfd68b58ab0,2952537,
bodies of water,306e2267-1e40-4484-95ee-4bc3c154473a,17685298," David Metcalf;Meredith Metcalf;Noah Smith"
bolts of melody,2be1c189-a399-44a6-946e-0ae9adc80d4f,27076979,
bombay bicycle club,198ffded-05ee-431b-975f-e6e972a59680,15604779," Jack Steadman;Jamie MacColl;Suren de Saram;Ed Nash;"
boston symphony orchestra,e6601e0d-ac5a-4d52-bc0f-0b0b407bcd83,148265,
box of toys,ccfd9538-9bd5-4e4b-89ac-6ed3268406b6,35195712,; Brian Atherton;Andy Redhead;Phil Martin;Roy Campbell
boy meets girl,61c55260-dc65-425c-8f68-8ad2ddb792a6,4127388,
bran van 3000,5085c7b0-510a-46d0-a22b-4e8ea02c6f7c,939983,
break of reality,544ed935-43bd-4d0d-8eeb-07fb68276e62,4735287," {{plainlist;; {{plainlist;"
brecker brothers,b0d4ea17-f1ed-4838-901d-1fe19cc40709,10548394," Randy Brecker;Michael Brecker"
bring me the horizon,3b3cdff8-6bf7-4b89-8ca3-b48f268f8ac7,7776260,;
broadcast 2000,0b4e97e5-23af-4d1a-9cbd-898a8578f551,18922280,
brotherhood of man,0ed646aa-3858-4fd3-be14-e0d094485c5e,178843," Martin Lee ;singer;;Martin Lee;Nicky Stevens;Lee Sheriden;Sandra Stevens; Tony Burrows;Sunny Leslie;Sue Glover;Roger Greenaway;John Goodison ;musician;;John Goodison;Hal Atkinson;Russell Stone"
brothers in law,0a44593d-b34c-4dad-893a-65be66ba2266,31158367,
brothers past,c53ce457-19f6-4acc-b36a-4ea643135484,8085283," Tom Hamilton;Tom McKee;Clay Parnell;Rick Lowenberg ;2000 - 2006, 2009;; Ilya Stemkovsky ;2006 — 2009;"
brussels jazz orchestra,be67f8e9-474d-4052-8167-57ff3a17d10a,1601701,
buck 65,88a2da1b-c380-4167-bac2-88ab8628c46f,517953,
buena vista social club,b62ddd5c-31c6-48d3-9c82-ff9494bccd0c,513544," *Jesús ""Aguaje"" Ramos;"
bugz in the attic,6854b88a-477e-4f7c-bbae-ab1e6c0ba0e8,1141902,
built by snow,ae5dd6ac-1eac-418d-8d20-6cffad3c65fc,23158222," JP Pfertner;Matt Murray;Ben Bauer;Brandon Stein; Jason Black Black Scorpion ;performer;"
built to spill,c9059ad3-983b-4d97-94fc-05b656f5ad76,316309," Doug Martsch; Ralf Youtz;Andy Capps;Brett Nelson;Brett Netson;Scott Plouf;Jim_Roth_;musician;;Jim Roth;Steve Gere;Jason Albertini"
bullet for my valentine,05f5ff57-c261-4906-9f6b-167a71a9b6a9,2213065,;
busty and the bass,b7d03269-abd1-45bb-b6e1-702b250ec925,55703697,;
canyon city,ac840992-5976-448e-baf2-85509c03d29d,1187250,
carl maria von weber,b5421a96-399c-4a30-8f3f-ced76cb585e2,45190,
cary brothers,d4f8e70a-7421-4427-a027-32a9d51d0b3b,1837846,
catfish and the bottlemen,916bafd6-81a4-4d02-a669-b26746dd0116,42650577,;
cats on trees,80713559-2842-4baa-a88f-cf402b3ed30c,41182513," Nina Goern;Yohan Hennequin"
chali 2na,fa60a944-e070-4061-8935-435af9ecf7bb,2435125,
chamber,731d2d21-228a-4b0d-8f7c-ec3337506dc9,527015,
channel 3,db099318-286f-4cf1-86f0-ced4fa7fe338,1567853,
choir of young believers,83ed1eb1-1213-4488-b40c-720957cfa923,25486709," Jannis Noya Makrigiannis;Jakob Millung;Cæcilie Trier;Lasse Herbst;Casper Henning Hansen;Bo Rande;Sonja Labianca;Aske Zidore; Mette Sand Hersoug;Fridolin Nordsø;Nicolai Koch;Frederik Nordsø;Anders Rhedin"
christine and the queens,731c2203-1319-4811-afed-9a5fe498d741,42065772,
circle takes the square,12753fd6-29a2-4310-8c8a-d18d55b5f8bd,870078," Drew Speziale;Kathleen Stubelek;Caleb Collins; David Rabitor;Jay Wynne;Bobby Scandiffio;Josh Ortega;Collin Kelly;Robbie Rose"
city,02820fa7-32f6-4541-ac11-60222760c1d0,5391,
city boy,3d571058-ed0e-4e17-ad6d-82d1c8fca285,34162814,
city of dreams,70ac5a9a-1528-4ced-843a-4422c6bccbf6,17007458,
city riots,e2256abf-d37f-40b5-9b4b-c0226de2dddd,27643701," Ricky Kradolfer;Matt Edge;Matt Stadler;Dan Kradolfer; John de Michele"
clap your hands say yeah,508ab7df-ffd0-45ce-b655-a0e76ad01734,2104999," Alec Ounsworth; Sean Greenhalgh ;producer, musician;;Sean Greenhalgh;Robbie Guertin;Lee Sargent;Tyler Sargent}}"
class 76,82385be2-7a12-4a80-be9a-a4cbae19d22b,20099674,
cleveland orchestra,2e44f031-6193-4ff2-9b3a-143ea060022a,148692,
climax blues band,322852f6-7d89-4d2f-b88f-22e8b44f234e,3860685," George Glover;Roy Adams;Lester Hunt;Neil Simpson;Chris Aldridge;Graham Dee; Colin Cooper;Pete Haycock;Derek Holt;George Newsome;Arthur Wood;Richard Jones;Anton Farmer;Peter Filleul;John Cuffley;Nicky Hopkins;Dave Marquee;Henry Spinetti;John Edwards ;musician;;John ""Rhino"" Edwards;Jeff Rich;Roger Inniss;Johnny Pugh"
closure in moscow,c0b2f010-6038-4c07-9a68-8636a7f9795e,17857383," Mansur Zennelli;Christopher deCinque;Michael Barrett;Salvatore Aidone;Duncan Millar; Beau Mckee;James Saggers;Brad Kimber;Joe Hubbard"
club,2b757396-6df2-4c3c-842e-770f762cc934,309136,
clue to kalo,0cb2ad52-245a-4d38-b4f0-5dc702f7a91e,21689889," Mark Mitchell;Ellen Carey;"
cocteau twins,33f3e891-f821-4435-a0f8-7adc469d9029,174846,
cold war kids,c53acfd2-9170-48a4-af54-9ad86b74addb,6266308," Nathan Willett;Matt Maust;David Quon;Matthew Schwartz;Joe Plummer; Dann Gallucci;Matt Aveiro;Jonnie Russell}}"
collections of colonies of bees,9a2a41ba-586a-4ff3-8fec-d8095a679a5c,25405598," *Chris Rosenau; *Jon Mueller"
columbia symphony orchestra,030d5897-e64b-4807-bc9f-e94fc621d943,150691,
comets on fire,93ad6c1b-4c3f-4b3f-8ece-dfba8c93d9af,3006616," Ethan Miller;Ben Flashman;Ben Chasny;Utrillo Kushner;Noel von Harmonson;"
con brio,6fbbaf81-76e1-4a84-b11e-60e821319e13,23848284,
creature with the atom brain,a65025a1-83e7-41f2-96e3-0fabf5a45cc6,18366633," Aldo Struyf;Jean-Philippe De Gheest;Jan Wygers;Michiel Van Cleuvenbergen; Dave Schroyen"
"crosby, stills, nash & young",eda0fbd8-203a-4668-8549-22cfd70b74af,147353," David Crosby;Stephen Stills;Graham Nash;Neil Young"
crown city rockers,5b190f00-44db-4d4a-aa4a-8611d2bcf28e,8255653," Raashan Ahmad;Woodstock;Headnodic;Max MacVeety;Kat Ouano;"
culture club,47cff9a0-ecbf-4079-b257-787fffa325bc,154309," Boy George;Roy Hay ;musician;;Roy Hay;Mikey Craig;Jon Moss;"
current 93,2bcbd9c4-f5da-458d-8847-dff05180d25f,541262," David Tibet;Steven Stapleton;Michael Cashmore; Douglas P.;Rose McDowall;Christoph Heemann;William Breeze"
cut off your hands,ccf3c135-e443-4147-ad8e-65ca63efd4ce,11126945," Nick Johnston;Phil Hadfield;Jonathan Lee;Brent Harris; Michael Ramirez;Elroy Finn{{citation needed;dateOctober 2012}}"
czech national symphony orchestra,c36d7459-285e-4f83-b282-d7814a2cd5e2,16248374,
daniel ellsworth & the great lakes,3d7b4c72-0720-4b4b-b4d8-96511ea5842b,36255625,
darlings of chelsea,fd58428c-e2fe-49fa-81ec-eebea369017f,23776917," Jay Millette;Chris Nova;Robby Ruckus;Paul Thompson; Sean Robertson"
dave and ansell collins,3c0f422a-cc11-42c0-bbc4-ad26316c6915,4941527,;
dawn and hawkes,fa1cff6c-42be-40c5-a14a-b80a9bf44046,42041173,;
